"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Charlie Burns",1.04878048780488,0.305555555555556,0.375,0.333,0,0,0,"hockey"
"Charlie Byrne",2.18518518518519,0.503,0,0,0,0,0,"baseball"
"Charlie Comiskey",8.69135802469136,0.608,0,0,4,1,1,"baseball"
"Charlie Conacher",1.97560975609756,0.4,0,0,0,0,0,"hockey"
"Charlie Cushman",0.222222222222222,0.583,0,0,0,0,0,"baseball"
"Charlie Ebbets",0.679012345679012,0.358,0,0,0,0,0,"baseball"
"Charlie Fox",4.61728395061728,0.504,0.363636363636364,0.25,0,0,0,"baseball"
"Charlie Gould",0.54320987654321,0.125,0,0,0,0,0,"baseball"
"Charlie Grimm",14.6172839506173,0.547,1.54545454545455,0.294,3,0,0,"baseball"
"Charlie Hackett",0.925925925925926,0.336,0,0,0,0,0,"baseball"
"Charlie Manuel",11.2716049382716,0.548,4.63636363636364,0.569,2,1,0,"baseball"
"Charlie Mason",0.506172839506173,0.487,0,0,0,0,0,"baseball"
"Charlie Metro",1.01234567901235,0.378,0,0,0,0,0,"baseball"
"Charlie Montoyo",1,0.414,0,0,0,0,0,"baseball"
"Charlie Morton",1.74074074074074,0.442,0,0,0,0,0,"baseball"
"Charlie Pabor",0.475308641975309,0.169,0,0,0,0,0,"baseball"
"Charlie Sweasy",0.117283950617284,0.211,0,0,0,0,0,"baseball"
"Charlie Waller",1.1875,0.563,0,0,0,0,0,"football"
"Chick Reiser",0.365853658536585,0.267,0,0,0,0,0,"basketball"
"Chick Stahl",0.246913580246914,0.35,0,0,0,0,0,"baseball"
"Chicken Wolf",0.401234567901235,0.215,0,0,0,0,0,"baseball"
"Chief Roseman",0.0925925925925926,0.467,0,0,0,0,0,"baseball"
